Drug A,Drug B,Severity,Mechansim,Reference
Escitalopram,Paracetamol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Esomeprazole,Amiodarone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Esomeprazole,Oxycodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Esomeprazole,Tramadol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Esomeprazole,Tiotropium,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Esomeprazole,Paclitaxel,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Esomeprazole,Ampicillin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Esomeprazole,Lithium Carbonate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Famotidine,Risedronate,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Famotidine,Antacid (Omeprazole),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Famotidine,Olanzapine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Famotidine,Trastuzumab,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Famotidine,Doxycycline,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Famotidine,Pantoprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Famotidine,Isosorbide Mononitrate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Fluconazole,Metoprolol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Fluconazole,Alendronate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Fluconazole,Folic Acid,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Fluconazole,Ibuprofen,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Fluconazole,Bisoprolol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Fluconazole,Insulin Lispro,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Fluconazole,Ginkgo biloba,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Fluconazole,Amlodipine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Fluoxetine,Iron (Ferrous Sulfate),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Fluoxetine,Garlic extract,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Fluoxetine,Ampicillin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Folic Acid,Ginkgo biloba,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Folic Acid,Sertraline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Folic Acid,Vitamins A,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Folic Acid,Linagliptin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Folic Acid,Voriconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Formoterol,Antacid (Omeprazole),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Formoterol,Insulin Glargine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Formoterol,Cefuroxime,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Formoterol,Bisoprolol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Formoterol,Calcium Carbonate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Formoterol,Omega-3 (Fish Oil),None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Formoterol,Quetiapine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Formoterol,Folic Acid,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Formoterol,Salmeterol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Gabapentin,Promethazine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Gabapentin,Paroxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Gabapentin,Montelukast,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Gabapentin,Budesonide,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Gabapentin,Codeine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Gabapentin,Escitalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Gabapentin,Salmeterol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Garlic extract,Glimepiride,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Garlic extract,Nitroglycerin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Garlic extract,Pregabalin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Garlic extract,Citalopram,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Garlic extract,Aripiprazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Garlic extract,Heparin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Garlic extract,Linagliptin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Garlic extract,Paclitaxel,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Garlic extract,Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Garlic extract,Green tea extract,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Garlic extract,Nifedipine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Garlic extract,Rosuvastatin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Garlic extract,Paracetamol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Garlic extract,Folic Acid,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ginkgo biloba,Paclitaxel,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ginkgo biloba,Imatinib,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ginkgo biloba,Doxorubicin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ginkgo biloba,Erythromycin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ginkgo biloba,Fluoxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ginkgo biloba,Diclofenac Sodium,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Glibenclamide,Amlodipine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Glibenclamide,Amiodarone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Glibenclamide,Morphine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Glibenclamide,Trastuzumab,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Glibenclamide,Fluoxetine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Glimepiride,Aspirin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Glimepiride,Pantoprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Glimepiride,Fluconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Glimepiride,Multivitamin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Glimepiride,Metformin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Glimepiride,Isosorbide Mononitrate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Glimepiride,Sildenafil,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Glimepiride,Hydrocodone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Glimepiride,Fluoxetine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Grapefruit juice,Statins,Major,CYP3A4 inhibition leading to increased statin exposure,FDA
Grapefruit juice,Promethazine,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Grapefruit juice,Erythromycin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Grapefruit juice,Sitagliptin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Grapefruit juice,Montelukast,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Grapefruit juice,Insulin (Human),Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Grapefruit juice,Carbamazepine,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Grapefruit juice,Budesonide,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Grapefruit juice,Oxycodone,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Green tea extract,Levofloxacin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Green tea extract,Itraconazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Green tea extract,Citalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Green tea extract,Amlodipine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Green tea extract,Vitamin B12,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Green tea extract,Erythromycin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Heparin,Citalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Heparin,Turmeric (Curcumin),None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Heparin,Metronidazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Heparin,Imatinib,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Heparin,Aspirin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Heparin,Escitalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Hydrocodone,Alendronate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Hydrocodone,Levocetirizine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Hydrocodone,Saxagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Hydrocodone,Lisinopril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Hydrocortisone,Cefuroxime,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Hydrocortisone,Metformin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Hydrocortisone,Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Hydrocortisone,Ketoconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Hydrocortisone,Fluconazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Hydrocortisone,Zolpidem,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ibuprofen,Ketoconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ibuprofen,Vitamins A,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ibuprofen,Levocetirizine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ibuprofen,Enalapril,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ibuprofen,Tramadol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ibuprofen,Vitamin D3,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ibuprofen,Saxagliptin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ibuprofen,Phenytoin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Imatinib,Dexamethasone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Imatinib,Saxagliptin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Imatinib,Lisinopril,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Imatinib,Tetracycline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Imatinib,Cefixime,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Imatinib,Amiodarone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Imatinib,Paroxetine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Imatinib,Levothyroxine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Imatinib,Amlodipine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Imatinib,Levofloxacin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Imatinib,Montelukast,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Imatinib,Levetiracetam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin (Human),Insulin Glargine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Insulin (Human),Diazepam,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Insulin (Human),St. John's wort,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Insulin (Human),Hydrocodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin (Human),Aspirin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Insulin (Human),Sitagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin (Human),Antacid (Omeprazole),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Insulin Aspart,Linagliptin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Insulin Aspart,Vitamin B12,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin Aspart,Cetirizine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin Aspart,Lisinopril,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Insulin Aspart,Sertraline,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Insulin Aspart,Imatinib,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin Glargine,Grapefruit juice,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Insulin Glargine,Linagliptin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Insulin Glargine,Garlic extract,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Insulin Glargine,Paracetamol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Insulin Glargine,Fluconazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Insulin Glargine,Esomeprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin Glargine,Ciprofloxacin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin Glargine,Paroxetine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Insulin Glargine,Ampicillin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Insulin Lispro,Levetiracetam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin Lispro,Tadalafil,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Insulin Lispro,Cetirizine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Insulin Lispro,Insulin Aspart,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Insulin Lispro,Paracetamol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Insulin Lispro,Formoterol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Insulin Lispro,Montelukast,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Insulin Lispro,Itraconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Iron (Ferrous Sulfate),Nitroglycerin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Iron (Ferrous Sulfate),Levothyroxine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Iron (Ferrous Sulfate),Omega-3 (Fish Oil),None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Iron (Ferrous Sulfate),Famotidine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Iron (Ferrous Sulfate),Ketoconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Iron (Ferrous Sulfate),Losartan,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Iron (Ferrous Sulfate),Hydrocortisone,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Iron (Ferrous Sulfate),St. John's wort,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Iron (Ferrous Sulfate),Metronidazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Isosorbide Mononitrate,Calcium Carbonate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Isosorbide Mononitrate,Cefixime,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Isosorbide Mononitrate,Multivitamin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Isosorbide Mononitrate,Ranitidine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Isosorbide Mononitrate,Insulin Lispro,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Isosorbide Mononitrate,Ampicillin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Isosorbide Mononitrate,Aripiprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Isosorbide Mononitrate,Fluconazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Itraconazole,Insulin Aspart,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Itraconazole,Azithromycin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Itraconazole,Cefuroxime,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Itraconazole,Lorazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Itraconazole,Propranolol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Itraconazole,Folic Acid,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Itraconazole,Citalopram,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Itraconazole,Baclofen,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Itraconazole,Antacid (Omeprazole),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Itraconazole,Cyclophosphamide,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Itraconazole,Prednisone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Itraconazole,Tramadol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Itraconazole,Simvastatin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ketoconazole,Propranolol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ketoconazole,Salmeterol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ketoconazole,Risedronate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ketoconazole,Omeprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ketoconazole,Itraconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Ketoconazole,Glimepiride,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ketoconazole,Doxorubicin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ketoconazole,Tadalafil,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ketoconazole,Formoterol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ketoconazole,Pregabalin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Ketoconazole,Bisoprolol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Ketoconazole,Garlic extract,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lamotrigine,Levetiracetam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lamotrigine,Fluoxetine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lamotrigine,Nitroglycerin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lamotrigine,Montelukast,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lamotrigine,Insulin Lispro,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lamotrigine,Green tea extract,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lamotrigine,Paclitaxel,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lamotrigine,Imatinib,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lamotrigine,Diazepam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lamotrigine,Levothyroxine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lamotrigine,Tetracycline,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lamotrigine,Risedronate,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lamotrigine,Hydrocodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lamotrigine,Clarithromycin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levetiracetam,Clarithromycin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levetiracetam,Ranitidine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levetiracetam,Linagliptin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levetiracetam,Tiotropium,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levetiracetam,Glibenclamide,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levetiracetam,Zolpidem,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levetiracetam,Erythromycin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levetiracetam,Cefixime,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levetiracetam,Baclofen,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levetiracetam,Clonazepam,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levocetirizine,Metronidazole,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levocetirizine,Risedronate,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levocetirizine,Itraconazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levocetirizine,Diazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levocetirizine,Aripiprazole,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levocetirizine,Zolpidem,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levocetirizine,Canagliflozin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levocetirizine,Salbutamol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levocetirizine,Rosuvastatin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levocetirizine,Vitamin B12,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levofloxacin,Linagliptin,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levofloxacin,Cefixime,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levofloxacin,Formoterol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levofloxacin,Liothyronine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levofloxacin,Metformin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levofloxacin,Sildenafil,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levofloxacin,Vitamin D3,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levofloxacin,Warfarin,Major,High-risk pharmacokinetic or pharmacodynamic interaction (see references),DrugBank;BNF;FDA
Levofloxacin,Hydrocodone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levofloxacin,Insulin Aspart,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levofloxacin,Salmeterol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levothyroxine,Carbamazepine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levothyroxine,Ranitidine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levothyroxine,Dexamethasone,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levothyroxine,Paclitaxel,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Levothyroxine,Minocycline,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levothyroxine,Bisoprolol,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Levothyroxine,Morphine,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Levothyroxine,Lisinopril,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Linagliptin,Dexamethasone,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Linagliptin,Diazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Linagliptin,Ibuprofen,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Linagliptin,Amoxicillin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Linagliptin,Olanzapine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Linagliptin,Lisinopril,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Linagliptin,Aspirin,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Linagliptin,Simvastatin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Liothyronine,Fluoxetine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Liothyronine,Imatinib,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Liothyronine,Cefuroxime,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Liothyronine,Quetiapine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Liothyronine,Paracetamol,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Liothyronine,Salmeterol,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Liothyronine,Ciprofloxacin,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Liothyronine,Insulin Aspart,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lisinopril,Insulin (Human),Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lisinopril,Amlodipine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lisinopril,Zolpidem,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lisinopril,Ibuprofen,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lisinopril,Lorazepam,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lisinopril,Captopril,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lisinopril,Famotidine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lisinopril,Pantoprazole,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lisinopril,Glibenclamide,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lisinopril,Losartan,Moderate,Moderate interaction — monitor therapy,DrugBank;BNF;FDA
Lithium Carbonate,Amlodipine,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lithium Carbonate,Insulin (Human),Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lithium Carbonate,Cefixime,None,No significant interaction identified in checked list,DrugBank;BNF;FDA
Lithium Carbonate,Liothyronine,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
Lithium Carbonate,Captopril,Minor,Minor interaction — usually clinically manageable,DrugBank;BNF;FDA
